exp_id,store_id,all_data,max_num_histories,previous_visits,num_total_epoch,train_size,test_size,train_censored_size,c_nll_date,c_nll_week,c_nll_month,c_nll_season,c_rmse,c_ce,c_rank,time_start,time_end,time_run,test_acc_majority_baseline,test_acc_xgb_baseline,test_acc_cph_baseline,test_acc_ours,test_fscore_majority_baseline,test_fscore_xgb_baseline,test_fscore_cph_baseline,test_fscore_ours,test_cindex_majority_baseline,test_cindex_xgb_baseline,test_cindex_cph_baseline,test_cindex_ours_interval,test_cindex_ours_censored_prob,test_RMSE_train_average_baseline,test_RMSE_test_average_baseline,test_RMSE_xgb_baseline,test_RMSE_cph_baseline,test_RMSE_ours,train_censored_acc_majority_baseline,train_censored_acc_xgb_baseline,train_censored_acc_cph_baseline,train_censored_acc_ours,train_censored_fscore_majority_baseline,train_censored_fscore_xgb_baseline,train_censored_fscore_cph_baseline,train_censored_fscore_ours,train_censored_cindex_majority_baseline,train_censored_cindex_xgb_baseline,train_censored_cindex_cph_baseline,train_censored_cindex_ours_interval,train_censored_cindex_ours_censored_prob,train_censored_RMSE_train_average_baseline,train_censored_RMSE_test_average_baseline,train_censored_RMSE_xgb_baseline,train_censored_RMSE_cph_baseline,train_censored_RMSE_ours
K8U10Q1EHX,store_B,False,5,True,25,883,524,584,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546281.9952729,1552546544.1761906,262.18091773986816,0.732824427480916,0.7423664122137404,0.7290076335877863,0.3416030534351145,0.0,0.0689655172413793,0.39316239316239315,0.43349753694581283,0.5,0.4418635146020269,0.5776558080287733,0.5185077646441751,0.3968585504748703,56.206824809948706,38.61819098024576,43.42668086034761,128.61602389712766,41.36456622560939,0.815068493150685,0.7876712328767124,0.18493150684931506,0.18493150684931506,0.0,0.08823529411764706,0.3121387283236994,0.3121387283236994,0.5,0.5319056439723283,0.47807432049294973,0.5862851094393831,0.3279023173175065,108.11700886352484,77.96747293104845,148.95562572176104,86.25423296660297,151.84761960759303
8IP0TN0KYU,store_E,False,5,True,25,1040,515,652,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546281.9954145,1552546576.2483702,294.2529556751251,0.7689320388349514,0.7650485436893204,0.7650485436893204,0.42524271844660194,0.0,0.1294964028776978,0.17687074829931976,0.4263565891472868,0.5,0.41013090366485044,0.5922543012819064,0.6018290339354752,0.5909995252198684,43.309309257123545,24.015038713290036,27.016216656953265,127.14842654909852,26.303945415046655,0.7438650306748467,0.7223926380368099,0.29754601226993865,0.2561349693251534,0.0,0.2096069868995633,0.3893333333333333,0.40781440781440786,0.5,0.5417050449463092,0.49336007182082103,0.6867749419953596,0.6715479951963996,80.6281058868448,63.719908350401646,104.62749153438408,74.05981465541579,104.44211519881326
F44ONGHC0J,store_C,False,5,True,25,1394,435,736,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546281.995338,1552546646.4911358,364.49579787254333,0.6114942528735632,0.639080459770115,0.6436781609195402,0.4068965517241379,0.0,0.26291079812206575,0.3404255319148936,0.5671140939597316,0.5,0.400817270912246,0.5541581923012334,0.5367118840147034,0.536133450264027,42.780047623758556,22.80266115886286,25.16038074774878,101.49241305396848,23.897959851152397,0.7676630434782609,0.6494565217391305,0.23233695652173914,0.23233695652173914,0.0,0.2134146341463415,0.3770672546857773,0.3770672546857773,0.5,0.5244972113421698,0.4952382812881548,0.6634954434014788,0.6611414450229051,75.86544021094144,62.393648541811956,98.87548671557968,66.1262786640179,105.74814447139016
1PWTOBVDGX,store_A,False,5,False,25,760,495,618,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546649.104144,1552546837.992706,188.88856196403503,0.7757575757575758,0.7777777777777778,0.7292929292929293,0.47878787878787876,0.0,0.01785714285714286,0.1728395061728395,0.4487179487179488,0.5,0.47052590774001807,0.6024292544256364,0.6996511177154671,0.7028039798423569,62.53787282501523,38.12452059346178,47.99502933035715,132.87691306441585,42.55622107521737,0.8171521035598706,0.813915857605178,0.18284789644012944,0.18284789644012944,0.0,0.0,0.30916552667578656,0.30916552667578656,0.5,0.5527212903444649,0.47243092891911603,0.5699530197927444,0.6172724343209919,101.02935034299179,71.91925421628336,149.47381210630815,78.21232714138081,139.7895053996909
UY9Z7PZW2E,store_D,False,5,False,25,798,452,621,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546649.1041982,1552546839.7678947,190.66369652748108,0.8761061946902655,0.8716814159292036,0.8783185840707964,0.6946902654867256,0.0,0.0,0.03508771929824561,0.3300970873786408,0.5,0.48266243710347845,0.6361846423102165,0.6081820170640998,0.5975169547145045,51.81428351500514,23.282021261022948,24.99004274725307,134.1091256258364,60.00392807666021,0.8824476650563607,0.8792270531400966,0.3107890499194847,0.11755233494363929,0.0,0.025974025974025972,0.17692307692307693,0.21037463976945242,0.5,0.5450718111327241,0.4456020677342855,0.6621812465027046,0.6541341362679528,72.14151451823851,64.80614399523296,99.83832199986124,82.98272520974957,84.34979845795415
C6PX7566HJ,store_B,False,5,False,25,883,524,584,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546649.1041534,1552546861.0014095,211.89725613594055,0.732824427480916,0.7423664122137404,0.7290076335877863,0.45610687022900764,0.0,0.0689655172413793,0.39316239316239315,0.4672897196261682,0.5,0.4418635146020269,0.5776558080287733,0.6305565442181968,0.6279901841410187,56.206824809948706,38.61819098024576,43.42668086034761,128.61602389712766,46.021550263877565,0.815068493150685,0.7876712328767124,0.18493150684931506,0.18493150684931506,0.0,0.08823529411764706,0.3121387283236994,0.3121387283236994,0.5,0.5319056439723283,0.47807432049294973,0.7409556572033418,0.7406910369334291,108.11700886352484,77.96747293104845,148.95562572176104,86.25423296660297,143.14416540131538
PQY89SY4UX,store_E,False,5,False,25,1040,515,652,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546649.1042154,1552546893.1597192,244.05550384521484,0.7689320388349514,0.7650485436893204,0.7650485436893204,0.5514563106796116,0.0,0.1294964028776978,0.17687074829931976,0.45130641330166277,0.5,0.41013090366485044,0.5922543012819064,0.5876421514322534,0.5893377947593317,43.309309257123545,24.015038713290036,27.016216656953265,127.14842654909852,45.244269801510754,0.7438650306748467,0.7223926380368099,0.29754601226993865,0.2561349693251534,0.0,0.2096069868995633,0.3893333333333333,0.40781440781440786,0.5,0.5417050449463092,0.49336007182082103,0.6289102123144726,0.6393685364175867,80.6281058868448,63.719908350401646,104.62749153438408,74.05981465541579,93.35616853278138
49GIC7TCBC,store_C,False,5,False,25,1394,435,736,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546649.1041605,1552546950.1998615,301.0957009792328,0.6114942528735632,0.639080459770115,0.6436781609195402,0.496551724137931,0.0,0.26291079812206575,0.3404255319148936,0.5812619502868069,0.5,0.400817270912246,0.5541581923012334,0.6080831451868715,0.5897785158509506,42.780047623758556,22.80266115886286,25.16038074774878,101.49241305396848,33.74326771183038,0.7676630434782609,0.6494565217391305,0.23233695652173914,0.23233695652173914,0.0,0.2134146341463415,0.3770672546857773,0.3770672546857773,0.5,0.5244972113421698,0.4952382812881548,0.6791724865450922,0.6740542494066166,75.86544021094144,62.393648541811956,98.87548671557968,66.1262786640179,96.99323314183367
C0GBGREPQU,store_A,False,5,True,25,760,495,618,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546952.9036927,1552547184.0956378,231.19194507598877,0.7757575757575758,0.7777777777777778,0.7292929292929293,0.3696969696969697,0.0,0.01785714285714286,0.1728395061728395,0.40684410646387836,0.5,0.47052590774001807,0.6024292544256364,0.43372528750484557,0.4075461945987854,62.53787282501523,38.12452059346178,47.99502933035715,132.87691306441585,39.683599175671105,0.8171521035598706,0.813915857605178,0.18284789644012944,0.18284789644012944,0.0,0.0,0.30916552667578656,0.30916552667578656,0.5,0.5527212903444649,0.47243092891911603,0.4658333474669697,0.4439544783840165,101.02935034299179,71.91925421628336,149.47381210630815,78.21232714138081,145.65016795946062
I4TRTOARQY,store_D,False,5,True,25,798,452,621,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546952.9038599,1552547190.3865552,237.48269534111023,0.8761061946902655,0.8716814159292036,0.8783185840707964,0.3805309734513274,0.0,0.0,0.03508771929824561,0.26315789473684215,0.5,0.48266243710347845,0.6361846423102165,0.5871253555020783,0.5952198643622839,51.81428351500514,23.282021261022948,24.99004274725307,134.1091256258364,27.52280149358025,0.8824476650563607,0.8792270531400966,0.3107890499194847,0.11755233494363929,0.0,0.025974025974025972,0.17692307692307693,0.21037463976945242,0.5,0.5450718111327241,0.4456020677342855,0.5479495856537611,0.5496549335180794,72.14151451823851,64.80614399523296,99.83832199986124,82.98272520974957,97.53234302593103
